[120.28.233.198 | 01-Jun-2023 11:40:44] 2-Super Admin: Logged in.
[49.148.243.119 | 01-Jun-2023 15:35:35] 2-Super Admin: Delete Schedule ID 87
[49.148.243.119 | 01-Jun-2023 15:35:38] 2-Super Admin: Delete Schedule ID 88
[49.148.243.119 | 01-Jun-2023 15:35:41] 2-Super Admin: Delete Schedule ID 89
[49.148.243.119 | 01-Jun-2023 15:35:44] 2-Super Admin: Delete Schedule ID 90
[49.148.243.119 | 01-Jun-2023 15:35:48] 2-Super Admin: Delete Schedule ID 91
[49.148.243.119 | 01-Jun-2023 15:35:51] 2-Super Admin: Delete Schedule ID 92
[49.148.243.119 | 01-Jun-2023 15:35:54] 2-Super Admin: Delete Schedule ID 93
[49.148.243.119 | 01-Jun-2023 15:35:57] 2-Super Admin: Delete Schedule ID 94
[49.148.243.119 | 01-Jun-2023 15:36:00] 2-Super Admin: Delete Schedule ID 95
[49.148.243.119 | 01-Jun-2023 15:36:04] 2-Super Admin: Delete Schedule ID 96
[49.148.243.119 | 01-Jun-2023 15:36:50] 2-Super Admin: Request Schedule for BALBASTRO ACE CRISTOPHER on 2023-06-01 status 0
[49.148.243.119 | 01-Jun-2023 15:37:20] 2-Super Admin: Add timelog for biometric ID 4002 for ftimeIn : 2023-06-01 10:00:00
[49.148.243.119 | 01-Jun-2023 15:37:38] 2-Super Admin: Add timelog for biometric ID 4002 for ftimeOut : 2023-06-01 14:00:00
[49.148.243.119 | 01-Jun-2023 15:37:59] 2-Super Admin: Add timelog for biometric ID 4002 for stimeIn : 2023-06-01 15:00:00
[49.148.243.119 | 01-Jun-2023 15:38:08] 2-Super Admin: Add timelog for biometric ID 4002 for stimeOut : 2023-06-01 19:00:00
[49.148.243.119 | 01-Jun-2023 15:57:53] 2-Super Admin: Log 2023-06-01 14:00                                         
               
                                                 for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.148.243.119 | 01-Jun-2023 15:57:59] 2-Super Admin: Log 2023-06-01 15:00                                         
               
                                                 for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.148.243.119 | 01-Jun-2023 15:59:17] 2-Super Admin: Log 2023-06-01 23:00                                         
               
                                                 for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.148.243.119 | 01-Jun-2023 15:59:39] 2-Super Admin: Add timelog for biometric ID 4002 for stimeOut : 2023-06-01 0:00:00
[120.28.241.191 | 02-Jun-2023 08:04:52] 2-Super Admin: Logged in.
[49.145.47.203 | 02-Jun-2023 10:28:02] 2-Super Admin: Logged in.
[49.145.47.203 | 02-Jun-2023 10:30:08] 2-Super Admin: Logged out.
[49.145.47.203 | 02-Jun-2023 10:30:14] 2-Super Admin: Logged in.
[49.145.47.203 | 02-Jun-2023 10:38:24] 2-Super Admin: Logged out.
[49.145.47.203 | 02-Jun-2023 10:38:28] 2-Super Admin: Logged in.
[49.145.47.203 | 02-Jun-2023 10:51:15] 2-Super Admin: Logged out.
[49.145.47.203 | 02-Jun-2023 10:51:20] 2-Super Admin: Logged in.
[49.145.47.203 | 02-Jun-2023 10:56:19] 2-Super Admin: Logged out.
[49.145.47.203 | 02-Jun-2023 13:26:20] 2-Super Admin: Logged in.
[49.145.47.203 | 02-Jun-2023 13:27:16] 2-Super Admin: Added/Updated User Schedules
[49.145.47.203 | 02-Jun-2023 13:27:25] 2-Super Admin: Delete Schedule ID 98
[49.145.47.203 | 02-Jun-2023 13:28:54] 2-Super Admin: Set Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 13:28:55] 2-Super Admin: Unset Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 13:28:57] 2-Super Admin: Set Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 13:37:38] 2-Super Admin: Add holiday 0 on 2023-05-01
[49.145.47.203 | 02-Jun-2023 13:38:37] 2-Super Admin: update holiday ID 46 to 1
[49.145.47.203 | 02-Jun-2023 13:39:23] 2-Super Admin: Delete holiday ID 46
[49.145.47.203 | 02-Jun-2023 13:39:37] 2-Super Admin: Add holiday 1 on 2023-05-11
[49.145.47.203 | 02-Jun-2023 13:40:00] 2-Super Admin: Add timelog for biometric ID 4002 for ftimeIn : 2023-05-11 8:00:00
[49.145.47.203 | 02-Jun-2023 13:40:09] 2-Super Admin: Add timelog for biometric ID 4002 for ftimeOut : 2023-05-11 12:00:00
[49.145.47.203 | 02-Jun-2023 13:40:21] 2-Super Admin: Add timelog for biometric ID 4002 for stimeIn : 2023-05-11 13:00:00
[49.145.47.203 | 02-Jun-2023 13:40:30] 2-Super Admin: Add timelog for biometric ID 4002 for stimeOut : 2023-05-11 17:00:00
[49.145.47.203 | 02-Jun-2023 13:42:17] 2-Super Admin: Log 2023-05-15 08:00                                      
              
                                               for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.145.47.203 | 02-Jun-2023 13:42:24] 2-Super Admin: Log 2023-05-15 12:00                                         
               
                                                 for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.145.47.203 | 02-Jun-2023 13:42:31] 2-Super Admin: Log 2023-05-15 13:00                                         
               
                                                 for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.145.47.203 | 02-Jun-2023 13:42:38] 2-Super Admin: Log 2023-05-15 17:00                                         
               
                                                 for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.145.47.203 | 02-Jun-2023 13:43:02] 2-Super Admin: Delete holiday ID 45
[49.145.47.203 | 02-Jun-2023 13:43:46] 2-Super Admin: Delete holiday ID 47
[49.145.47.203 | 02-Jun-2023 13:43:52] 2-Super Admin: Add holiday 1 on 2023-05-09
[49.145.47.203 | 02-Jun-2023 13:44:03] 2-Super Admin: Add holiday 1 on 2023-05-15
[49.145.47.203 | 02-Jun-2023 13:44:20] 2-Super Admin: Delete holiday ID 48
[49.145.47.203 | 02-Jun-2023 13:48:07] 2-Super Admin: Log 2023-06-01 08:00                                      
              
                                               for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.145.47.203 | 02-Jun-2023 13:48:14] 2-Super Admin: Log 2023-06-01 23:00                                         
               
                                                 for BALBASTRO, ACE CRISTOPHER successfully Deleted
[49.145.47.203 | 02-Jun-2023 13:48:39] 2-Super Admin: Add timelog for biometric ID 4002 First Time in : 2023-06-01 8:00
[49.145.47.203 | 02-Jun-2023 13:48:40] 2-Super Admin: Add timelog for biometric ID 4002 First Time out : 2023-06-01 12:00
[49.145.47.203 | 02-Jun-2023 13:48:41] 2-Super Admin: Add timelog for biometric ID 4002 Second Time in : 2023-06-01 13:00
[49.145.47.203 | 02-Jun-2023 13:48:42] 2-Super Admin: Add timelog for biometric ID 4002 Second Time out : 2023-06-01 17:00
[49.145.47.203 | 02-Jun-2023 13:49:20] 2-Super Admin: Add timelog for biometric ID 4002 First Time in : 2023-06-02 8:00
[49.145.47.203 | 02-Jun-2023 13:49:21] 2-Super Admin: Add timelog for biometric ID 4002 First Time out : 2023-06-02 12:00
[49.145.47.203 | 02-Jun-2023 13:49:22] 2-Super Admin: Add timelog for biometric ID 4002 Second Time in : 2023-06-02 13:00
[49.145.47.203 | 02-Jun-2023 13:49:23] 2-Super Admin: Add timelog for biometric ID 4002 Second Time out : 2023-06-02 17:00
[49.145.47.203 | 02-Jun-2023 13:49:42] 2-Super Admin: Add timelog for biometric ID 4002 First Time in : 2023-06-05 8:00
[49.145.47.203 | 02-Jun-2023 13:49:43] 2-Super Admin: Add timelog for biometric ID 4002 First Time out : 2023-06-05 12:00
[49.145.47.203 | 02-Jun-2023 13:49:44] 2-Super Admin: Add timelog for biometric ID 4002 Second Time in : 2023-06-05 13:00
[49.145.47.203 | 02-Jun-2023 13:49:45] 2-Super Admin: Add timelog for biometric ID 4002 Second Time out : 2023-06-05 17:00
[49.145.47.203 | 02-Jun-2023 13:50:01] 2-Super Admin: Add timelog for biometric ID 4002 First Time in : 2023-06-06 8:00
[49.145.47.203 | 02-Jun-2023 13:50:02] 2-Super Admin: Add timelog for biometric ID 4002 First Time out : 2023-06-06 12:00
[49.145.47.203 | 02-Jun-2023 13:50:03] 2-Super Admin: Add timelog for biometric ID 4002 Second Time in : 2023-06-06 13:00
[49.145.47.203 | 02-Jun-2023 13:50:04] 2-Super Admin: Add timelog for biometric ID 4002 Second Time out : 2023-06-06 17:00
[49.145.47.203 | 02-Jun-2023 13:50:19] 2-Super Admin: Add timelog for biometric ID 4002 First Time in : 2023-06-07 8:00
[49.145.47.203 | 02-Jun-2023 13:50:20] 2-Super Admin: Add timelog for biometric ID 4002 First Time out : 2023-06-07 12:00
[49.145.47.203 | 02-Jun-2023 13:50:21] 2-Super Admin: Add timelog for biometric ID 4002 Second Time in : 2023-06-07 13:00
[49.145.47.203 | 02-Jun-2023 13:50:22] 2-Super Admin: Add timelog for biometric ID 4002 Second Time out : 2023-06-07 17:00
[49.145.47.203 | 02-Jun-2023 13:51:04] 2-Super Admin: Add holiday 1 on 2023-06-01
[49.145.47.203 | 02-Jun-2023 13:51:12] 2-Super Admin: Delete holiday ID 50
[49.145.47.203 | 02-Jun-2023 13:51:17] 2-Super Admin: Delete holiday ID 49
[49.145.47.203 | 02-Jun-2023 13:51:27] 2-Super Admin: Add holiday 1 on 2023-06-01
[49.145.47.203 | 02-Jun-2023 13:51:45] 2-Super Admin: update holiday ID 51 to 4
[49.145.47.203 | 02-Jun-2023 13:51:56] 2-Super Admin: Delete holiday ID 51
[49.145.47.203 | 02-Jun-2023 13:52:03] 2-Super Admin: Add holiday 1 on 2023-06-06
[49.145.47.203 | 02-Jun-2023 13:52:16] 2-Super Admin: Add holiday 1 on 2023-06-05
[49.145.47.203 | 02-Jun-2023 13:52:27] 2-Super Admin: update holiday ID 53 to 0
[49.145.47.203 | 02-Jun-2023 13:52:41] 2-Super Admin: Delete holiday ID 53
[49.145.47.203 | 02-Jun-2023 13:52:45] 2-Super Admin: Add holiday 4 on 2023-06-07
[49.145.47.203 | 02-Jun-2023 14:04:08] 2-Super Admin: Unset Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 14:16:26] 2-Super Admin: Logged in.
[49.145.47.203 | 02-Jun-2023 14:25:45] 2-Super Admin: Added/Updated User Schedules
[49.145.47.203 | 02-Jun-2023 14:37:01] 2-Super Admin: Added/Updated User Schedules
[49.145.47.203 | 02-Jun-2023 14:44:22] 2-Super Admin: Added/Updated User Schedules
[49.145.47.203 | 02-Jun-2023 14:44:46] 2-Super Admin: Added/Updated User Schedules
[49.145.47.203 | 02-Jun-2023 14:46:54] 2-Super Admin: Added/Updated User Schedules
[49.145.47.203 | 02-Jun-2023 15:21:03] 2-Super Admin: Logged in.
[49.145.47.203 | 02-Jun-2023 15:30:07] 2-Super Admin: Add holiday 0 on 2023-05-15
[49.145.47.203 | 02-Jun-2023 15:31:15] 2-Super Admin: Add timelog for biometric ID 4002 First Time in : 2023-05-15 7:30
[49.145.47.203 | 02-Jun-2023 15:31:16] 2-Super Admin: Add timelog for biometric ID 4002 First Time out : 2023-05-15 12:00
[49.145.47.203 | 02-Jun-2023 15:31:17] 2-Super Admin: Add timelog for biometric ID 4002 Second Time in : 2023-05-15 13:00
[49.145.47.203 | 02-Jun-2023 15:31:18] 2-Super Admin: Add timelog for biometric ID 4002 Second Time out : 2023-05-15 17:00
[49.145.47.203 | 02-Jun-2023 15:31:46] 2-Super Admin: Set Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:31:51] 2-Super Admin: Set Holiday amount.
[49.145.47.203 | 02-Jun-2023 15:33:04] 2-Super Admin: Unset Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:33:06] 2-Super Admin: Set Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:33:07] 2-Super Admin: Unset Leave Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:33:25] 2-Super Admin: Set Leave Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:33:29] 2-Super Admin: Unset Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:33:34] 2-Super Admin: Set Holiday amount.
[49.145.47.203 | 02-Jun-2023 15:33:42] 2-Super Admin: Set Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:34:11] 2-Super Admin: update holiday ID 55 to 1
[49.145.47.203 | 02-Jun-2023 15:34:35] 2-Super Admin: Unset Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:35:07] 2-Super Admin: Set Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:35:22] 2-Super Admin: update holiday ID 55 to 4
[49.145.47.203 | 02-Jun-2023 15:35:39] 2-Super Admin: Unset Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:36:38] 2-Super Admin: Set Holiday Actual Rate.
[49.145.47.203 | 02-Jun-2023 15:36:50] 2-Super Admin: Add holiday 0 on 2023-05-15
[49.145.47.203 | 02-Jun-2023 15:37:03] 2-Super Admin: update holiday ID 55 to 0
[49.145.47.203 | 02-Jun-2023 15:37:17] 2-Super Admin: update holiday ID 55 to 1
[49.145.47.203 | 02-Jun-2023 15:37:30] 2-Super Admin: update holiday ID 55 to 4
[49.145.47.203 | 02-Jun-2023 15:39:05] 2-Super Admin: Added Payroll h Array Success.
[49.145.47.203 | 02-Jun-2023 15:39:32] 2-Super Admin: Generate Payslip for h
[49.145.47.203 | 02-Jun-2023 15:39:35] 2-Super Admin: Generate Payslip for h
[120.28.184.192 | 05-Jun-2023 08:38:47] 2-Super Admin: Logged in.
[120.28.184.192 | 05-Jun-2023 11:21:52] 2-Super Admin: Logged in.
[120.28.184.192 | 05-Jun-2023 13:38:02] 2-Super Admin: Logged in.
[120.28.184.192 | 05-Jun-2023 14:08:16] 2-Super Admin: Logged in.
[120.28.184.192 | 05-Jun-2023 14:09:07] 2-Super Admin: Add leave for BALBASTRO ACE CRISTOPHER 2023-05-10 - 1
[120.28.184.192 | 05-Jun-2023 14:10:45] 2-Super Admin: Add leave for BALBASTRO ACE CRISTOPHER 2023-06-13 - 1
[120.28.184.192 | 05-Jun-2023 14:11:59] 2-Super Admin: Delete leave ID 25
[120.28.184.192 | 05-Jun-2023 14:12:09] 2-Super Admin: Add leave for BALBASTRO ACE CRISTOPHER 2023-06-08 - 2
[120.28.184.192 | 05-Jun-2023 14:12:22] 2-Super Admin: Unset Leave Actual Rate.
[120.28.184.192 | 05-Jun-2023 14:12:23] 2-Super Admin: Unset Holiday Actual Rate.
[120.28.184.192 | 05-Jun-2023 15:27:02] 2-Super Admin: Logged in.
[120.28.244.147 | 06-Jun-2023 08:03:51] 2-Super Admin: Logged in.
[120.28.244.147 | 06-Jun-2023 15:24:11] 2-Super Admin: Logged in.
[120.28.244.147 | 06-Jun-2023 15:46:22] 2-Super Admin: Add timelog for biometric ID 123 First Time in : 2023-04-04 0:30
[120.28.244.147 | 06-Jun-2023 15:46:23] 2-Super Admin: Add timelog for biometric ID 123 First Time out : 2023-04-04 1:00
[120.28.244.147 | 06-Jun-2023 15:46:24] 2-Super Admin: Add timelog for biometric ID 123 Second Time in : 2023-04-04 1:00
[120.28.244.147 | 06-Jun-2023 15:46:25] 2-Super Admin: Add timelog for biometric ID 123 Second Time out : 2023-04-04 1:30
[120.28.244.147 | 06-Jun-2023 15:46:26] 2-Super Admin: Add timelog for biometric ID 123 OT in : 2023-04-04 0:30
[120.28.244.147 | 06-Jun-2023 15:46:27] 2-Super Admin: Add timelog for biometric ID 123 OT out : 2023-04-04 2:00:00
[120.28.244.147 | 06-Jun-2023 15:47:40] 2-Super Admin: Add timelog for biometric ID 123 First Time in : 2023-04-04 9:00
[120.28.244.147 | 06-Jun-2023 15:47:41] 2-Super Admin: Add timelog for biometric ID 123 First Time out : 2023-04-04 12:30
[120.28.244.147 | 06-Jun-2023 15:47:42] 2-Super Admin: Add timelog for biometric ID 123 Second Time in : 2023-04-04 13:00
[120.28.244.147 | 06-Jun-2023 15:47:43] 2-Super Admin: Add timelog for biometric ID 123 Second Time out : 2023-04-04 18:30
[120.28.244.147 | 06-Jun-2023 15:47:44] 2-Super Admin: Add timelog for biometric ID 123 OT in : 2023-04-04 19:30
[120.28.244.147 | 06-Jun-2023 15:47:45] 2-Super Admin: Add timelog for biometric ID 123 OT out : 2023-04-04 20:00:00
[120.28.236.64 | 07-Jun-2023 08:44:45] 2-Super Admin: Logged in.
[120.28.236.64 | 07-Jun-2023 11:13:54] 2-Super Admin: Logged in.
[210.23.160.252 | 07-Jun-2023 13:05:10] 2-Super Admin: Logged in.
[210.23.160.252 | 07-Jun-2023 13:08:50] 2-Super Admin: Create Schedule AM Shift
[210.23.160.252 | 07-Jun-2023 13:09:22] 2-Super Admin: Delete Schedule 
[210.23.160.252 | 07-Jun-2023 13:09:25] 2-Super Admin: Create Schedule AM Shift
[210.23.160.252 | 07-Jun-2023 13:10:20] 2-Super Admin: Create Schedule AM Shift
[210.23.160.252 | 07-Jun-2023 13:11:05] 2-Super Admin: Update Schedule AM Shift
[210.23.160.252 | 07-Jun-2023 13:11:15] 2-Super Admin: Delete Schedule 
[210.23.160.252 | 07-Jun-2023 13:11:37] 2-Super Admin: Update Schedule AM Shift
[210.23.160.252 | 07-Jun-2023 13:12:04] 2-Super Admin: Update Schedule Opening
[210.23.160.252 | 07-Jun-2023 13:12:54] 2-Super Admin: Create Schedule AMV2
[210.23.160.252 | 07-Jun-2023 13:12:59] 2-Super Admin: Update Schedule AMV2
[210.23.160.252 | 07-Jun-2023 13:13:53] 2-Super Admin: Create Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:16:22] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:16:34] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:22:43] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:26:29] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:32:04] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:32:23] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:43:49] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:44:06] 2-Super Admin: Update Schedule AM Shift
[210.23.160.252 | 07-Jun-2023 13:45:03] 2-Super Admin: Request Schedule for xx xx on 2023-06-07 status 39
[210.23.160.252 | 07-Jun-2023 13:45:56] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:46:03] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:46:26] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:46:36] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:46:42] 2-Super Admin: Update Schedule AMv3
[210.23.160.252 | 07-Jun-2023 13:47:14] 2-Super Admin: Add timelog for biometric ID 999 for ftimeIn : 2023-06-07 6:30:00
[210.23.160.252 | 07-Jun-2023 13:47:38] 2-Super Admin: Add timelog for biometric ID 999 for stimeOut : 2023-06-07 5:00:00
[210.23.160.252 | 07-Jun-2023 14:13:40] 2-Super Admin: Ftime 1686096000and Schedule time 2023-06-07 
[210.23.160.252 | 07-Jun-2023 14:13:40] 2-Super Admin: Ftime 1686090600and Schedule time 2023-06-07 
[210.23.160.252 | 07-Jun-2023 14:14:13] 2-Super Admin: Ftime 1686096000and Schedule time 2023-06-07 
[210.23.160.252 | 07-Jun-2023 14:14:13] 2-Super Admin: Ftime 1686090600and Schedule time 2023-06-07 
[210.23.160.252 | 07-Jun-2023 14:14:16] 2-Super Admin: Ftime 1686096000and Schedule time 2023-06-07 
[210.23.160.252 | 07-Jun-2023 14:14:16] 2-Super Admin: Ftime 1686090600and Schedule time 2023-06-07 
